,기준_년_코드,기준_분기_코드,상권_코드,상권_코드_명,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_1_유동인구_수,시간대_2_유동인구_수,시간대_3_유동인구_수,시간대_4_유동인구_수,시간대_5_유동인구_수,시간대_6_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수,집객시설_수,총_직장_인구_수,남성_직장_인구_수,여성_직장_인구_수,연령대_10_직장_인구_수,연령대_20_직장_인구_수,연령대_30_직장_인구_수,연령대_40_직장_인구_수,연령대_50_직장_인구_수,연령대_60_이상_직장_인구_수,남성연령대_10_직장_인구_수,남성연령대_20_직장_인구_수,남성연령대_30_직장_인구_수,남성연령대_40_직장_인구_수,남성연령대_50_직장_인구_수,남성연령대_60_이상_직장_인구_수,여성연령대_10_직장_인구_수,여성연령대_20_직장_인구_수,여성연령대_30_직장_인구_수,여성연령대_40_직장_인구_수,여성연령대_50_직장_인구_수,여성연령대_60_이상_직장_인구_수,총 상주인구 수,남성 상주인구 수,여성 상주인구 수,연령대 10 상주인구 수,연령대 20 상주인구 수,연령대 30 상주인구 수,연령대 40 상주인구 수,연령대 50 상주인구 수,연령대 60 이상 상주인구 수,남성연령대 10 상주인구 수,남성연령대 20 상주인구 수,남성연령대 30 상주인구 수,남성연령대 40 상주인구 수,남성연령대 50 상주인구 수,남성연령대 60 이상 상주인구 수,여성연령대 10 상주인구 수,여성연령대 20 상주인구 수,여성연령대 30 상주인구 수,여성연령대 40 상주인구 수,여성연령대 50 상주인구 수,여성연령대 60 이상 상주인구 수,총 가구 수,아파트 가구 수,비 아파트 가구 수
0,2020,2,1001203,명동거리,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006623203437546299,0.5903160893551597,0.247833148132319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5976027397260273,0.0222222222222222,0.08919722497522299,0.0,0.03218817703497368,0.028978622327790977,0.49840255591054317,0.0,0.0,0.0,0.02179099729600764,0.0,0.6632302405498283,0.1691542288557214,1.0,0.0588235294117647,0.7142857142857142,0.8333333333333333,0.1774193548387097,0.10743801652892562,0.23357664233576644,0.137037037037037,0.3333333333333333,0.7777777777777777,0.9166666666666669,0.6000000000000001,0.8636363636363639,1.0,0.5714285714285714,0.6153846153846153,0.03389830508474577,0.03636363636363636,0.11304347826086956,0.03984063745019921,0.9553571428571428,0.0,0.9553571428571428
1,2020,1,1001203,명동거리,0.03577419027700979,0.026840992782229844,0.04588181938310898,0.17632941962726123,0.06396530126643984,0.008519294817242949,0.024198638302543207,0.01924896941459109,0.10063713142687813,0.6114452383105725,0.2757739977775879,0.02990157175333813,0.029824908431716424,0.03511283913377139,0.06617344145913395,0.014562183790218564,0.03608902035790895,0.025670993960996258,0.035890421273231554,0.02320490052124513,0.04871161017304228,0.1198776411941313,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5976027397260273,0.0222222222222222,0.08919722497522299,0.0,0.03218817703497368,0.028978622327790977,0.49840255591054317,0.0,0.0,0.0,0.02179099729600764,0.0,0.6632302405498283,0.1691542288557214,1.0,0.0588235294117647,0.7142857142857142,0.8333333333333333,0.1774193548387097,0.10743801652892562,0.23357664233576644,0.137037037037037,0.3333333333333333,0.7777777777777777,0.9166666666666669,0.6000000000000001,0.8636363636363639,1.0,0.5714285714285714,0.6153846153846153,0.03389830508474577,0.03636363636363636,0.11304347826086956,0.03984063745019921,0.9553571428571428,0.0,0.9553571428571428
2,2019,4,1001203,명동거리,0.1759097006029272,0.1283396244913967,0.2297345577403394,0.920500630344639,0.24769197881475297,0.0852441663777435,0.09300308257082135,0.12334037073774445,0.4756210796661233,0.8776227729040429,0.4215437216856142,0.1512152552715867,0.1401953899235725,0.15781852443892957,0.2587457181392881,0.11458367778843292,0.12801903375432672,0.13125713050893534,0.131554707794245,0.170638687490838,0.33950224158880465,0.4370531920919957,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5976027397260273,0.0222222222222222,0.08919722497522299,0.0,0.03218817703497368,0.028978622327790977,0.49840255591054317,0.0,0.0,0.0,0.02179099729600764,0.0,0.6632302405498283,0.1691542288557214,1.0,0.0588235294117647,0.7142857142857142,0.8333333333333333,0.1774193548387097,0.10743801652892562,0.23357664233576644,0.137037037037037,0.3333333333333333,0.7777777777777777,0.9166666666666669,0.6000000000000001,0.8636363636363639,1.0,0.5714285714285714,0.6153846153846153,0.03389830508474577,0.03636363636363636,0.11304347826086956,0.03984063745019921,0.9553571428571428,0.0,0.9553571428571428
3,2019,3,1001203,명동거리,0.16587405308285041,0.12403001300525113,0.21322088757000673,0.8418062791439465,0.25524986164858937,0.09156239165379647,0.09054403868611133,0.09697057940285198,0.39444856028053543,1.0,0.4324164458500727,0.1324497029446266,0.12424080301302465,0.13994900043869346,0.25365545341166246,0.11793178135643662,0.1298503937617606,0.15083103104545165,0.11747712926826209,0.13969801907627388,0.2751204592114636,0.41801393530844616,1.0,1.0,1.0,1.0,0.5789473684210527,1.0,0.8644693306184779,1.0,1.0,1.0,0.42222222222222217,1.0,0.7692307692307692,0.8978644382544106,1.0,1.0,0.5161290322580645,0.910609480812641,0.9029664045746963,1.0,1.0,0.9312714776632304,0.17081260364842454,0.9583333333333336,0.06617647058823528,0.8571428571428571,0.8333333333333333,0.20967741935483877,0.1487603305785124,0.22627737226277378,0.11481481481481479,0.6666666666666666,0.6666666666666665,0.9166666666666669,0.8,0.8181818181818185,0.8148148148148149,0.5714285714285714,0.6923076923076922,0.06779661016949155,0.05454545454545455,0.11304347826086956,0.03585657370517928,0.9107142857142857,0.0,0.9107142857142857
4,2019,2,1001203,명동거리,0.1438839532583135,0.10119801143654678,0.19218257781287068,0.8173519449549644,0.21355664016845904,0.07412850253727109,0.0735594088537776,0.0827084603554496,0.3732207240578852,0.8597042597449581,0.3948371655697069,0.12309064062149233,0.11146306137431417,0.12619208291422096,0.21622338474387842,0.07502438742105089,0.10377190469184366,0.12070804356261722,0.11802677977587311,0.13596831675554355,0.2709808522227343,0.37300742083498556,1.0,1.0,1.0,1.0,0.5789473684210527,1.0,0.8644693306184779,1.0,1.0,1.0,0.42222222222222217,1.0,0.7692307692307692,0.8978644382544106,1.0,1.0,0.5161290322580645,0.910609480812641,0.9029664045746963,1.0,1.0,0.9312714776632304,0.17081260364842454,0.9583333333333336,0.06617647058823528,0.8571428571428571,0.8333333333333333,0.20967741935483877,0.1487603305785124,0.22627737226277378,0.11481481481481479,0.6666666666666666,0.6666666666666665,0.9166666666666669,0.8,0.8181818181818185,0.8148148148148149,0.5714285714285714,0.6923076923076922,0.06779661016949155,0.05454545454545455,0.11304347826086956,0.03585657370517928,0.9107142857142857,0.0,0.9107142857142857
5,2019,1,1001203,명동거리,0.13820139796447495,0.10003013411845452,0.18139098204337195,0.7144310949769885,0.22000171815470188,0.06877291686365976,0.06810316702899322,0.07634294606375525,0.3690522052649776,0.7707786922311659,0.3664518334900419,0.11853442142972326,0.11963550579279747,0.12804755946379853,0.19615013459291986,0.08061076022618302,0.07725977435166759,0.10825361492114904,0.1384943591802929,0.13410346559517827,0.25655507604642397,0.35921939613663395,1.0,0.36396854396695527,0.14363617656137465,0.5024904586325118,1.0,0.930517711171662,0.38839399338254005,0.23236839163965572,0.16110304789550073,0.9195205479452053,1.0,0.7888999008919725,0.34571175950486294,0.0,0.0,0.7859424920127793,0.7526881720430108,0.9146726862302483,0.4056468906361687,0.36901542866231907,0.5305253194510176,1.0,0.17081260364842454,0.9583333333333336,0.06617647058823528,0.8571428571428571,0.8333333333333333,0.20967741935483877,0.1487603305785124,0.22627737226277378,0.11481481481481479,0.6666666666666666,0.6666666666666665,0.9166666666666669,0.8,0.8181818181818185,0.8148148148148149,0.5714285714285714,0.6923076923076922,0.06779661016949155,0.05454545454545455,0.11304347826086956,0.03585657370517928,0.9107142857142857,0.0,0.9107142857142857
6,2018,4,1001203,명동거리,0.18941825466833262,0.08538336654334266,0.3071314258120615,0.4592706229020156,0.5718877925108434,0.11641766739160128,0.03025706384367005,0.10940813002211325,0.11474786388106883,0.27921226372433755,0.0,0.19911088907930224,0.19494784690075045,0.2966586374574762,0.37182634409512355,0.09218031811117355,0.10657314986177685,0.11551714923705009,0.13017932661538273,0.17239059019174807,0.5274060418150586,0.5445306746728602,1.0,0.03491143061402808,0.04979936207428749,0.025551458697199048,0.017543859649122806,0.048024523160762944,0.043395265970984975,0.008494467419246643,0.0841799709724238,0.25,0.0,0.0,0.10610079575596815,0.09811203961621792,0.08052256532066511,0.194888178913738,0.03225806451612903,0.10428893905191872,0.018048606147248042,0.0,0.14434453383814486,0.2920962199312715,0.17081260364842454,0.9583333333333336,0.06617647058823528,0.8571428571428571,0.8333333333333333,0.20967741935483877,0.1487603305785124,0.22627737226277378,0.11481481481481479,0.6666666666666666,0.6666666666666665,0.9166666666666669,0.8,0.8181818181818185,0.8148148148148149,0.5714285714285714,0.6923076923076922,0.06779661016949155,0.05454545454545455,0.11304347826086956,0.03585657370517928,0.9107142857142857,0.0,0.9107142857142857
7,2018,3,1001203,명동거리,0.300673342045896,0.18409423183950768,0.43257903640756507,0.5433115117639017,0.7904031070630144,0.2227335287504859,0.11432343516082116,0.17124325455687106,0.17664839235442287,0.4702903138283441,0.16645183349004194,0.3000528028178366,0.28337247415577294,0.3796874511678622,0.5013120693449811,0.19713096458450452,0.2299421553519851,0.18301271699402138,0.21279757049456,0.30387461279105255,0.666250471362132,0.6940293434543703,1.0,0.03491143061402808,0.04979936207428749,0.025551458697199048,0.017543859649122806,0.048024523160762944,0.043395265970984975,0.008494467419246643,0.0841799709724238,0.25,0.0,0.0,0.10610079575596815,0.09811203961621792,0.08052256532066511,0.194888178913738,0.03225806451612903,0.10428893905191872,0.018048606147248042,0.0,0.14434453383814486,0.2920962199312715,0.1791044776119403,0.9861111111111113,0.07169117647058823,0.5714285714285714,0.9444444444444444,0.2580645161290323,0.1487603305785124,0.23357664233576644,0.1185185185185185,0.0,0.7777777777777777,1.0,0.8666666666666667,0.9090909090909093,0.7777777777777777,0.5714285714285714,0.7692307692307692,0.10169491525423732,0.045454545454545456,0.10434782608695652,0.043824701195219126,1.0,0.0,1.0
8,2018,2,1001203,명동거리,0.28981146805404345,0.1513316685073951,0.4464947298185739,0.5359752115072072,0.7560579937147505,0.22836490476040383,0.10038478777216414,0.17017854380329245,0.15007161554798243,0.2438048295197613,0.08660911188990511,0.303241523882999,0.318439907442686,0.3930230377727799,0.3605227961467486,0.14376384709500345,0.1652560419393057,0.20003067135411706,0.23390766373436073,0.2945383411956676,0.7065655507604645,0.7471421288166318,1.0,0.03491143061402808,0.04979936207428749,0.025551458697199048,0.017543859649122806,0.048024523160762944,0.043395265970984975,0.008494467419246643,0.0841799709724238,0.25,0.0,0.0,0.10610079575596815,0.09811203961621792,0.08052256532066511,0.194888178913738,0.03225806451612903,0.10428893905191872,0.018048606147248042,0.0,0.14434453383814486,0.2920962199312715,0.1791044776119403,0.9861111111111113,0.07169117647058823,0.5714285714285714,0.9444444444444444,0.2580645161290323,0.1487603305785124,0.23357664233576644,0.1185185185185185,0.0,0.7777777777777777,1.0,0.8666666666666667,0.9090909090909093,0.7777777777777777,0.5714285714285714,0.7692307692307692,0.10169491525423732,0.045454545454545456,0.10434782608695652,0.043824701195219126,1.0,0.0,1.0
9,2018,1,1001203,명동거리,0.25982813417856676,0.1196064974349954,0.41849041644303125,0.6698664884487446,0.7382211504843799,0.19453856336873954,0.07019022907373473,0.1328454167387091,0.06974366572825608,0.1972732205842453,0.016114197794683316,0.27264434614618477,0.3008935790022874,0.38321320386281743,0.2895920451916186,0.119917909460666,0.15992264149482344,0.1942983811566354,0.16713140160879442,0.21290063659674274,0.6983114760967026,0.7525859627258822,1.0,0.06199857018031614,0.10021607161230586,0.037971408241154025,0.3771929824561403,0.12125340599455042,0.07279205904810382,0.03945456577623785,0.07160135462022255,0.24315068493150682,0.15555555555555556,0.13280475718533205,0.1684350132625994,0.16372640049520273,0.07505938242280287,0.25559105431309903,0.39784946236559143,0.14085778781038372,0.034131522516082924,0.010338794337521884,0.11831519167061053,0.21305841924398633,0.009950248756218909,0.11111111111111116,0.0,0.2857142857142857,0.05555555555555555,0.0,0.008264462809917356,0.0,0.048148148148148134,0.3333333333333333,0.0,0.16666666666666669,0.06666666666666665,0.0,0.2222222222222222,0.14285714285714285,0.07692307692307691,0.0,0.0,0.0,0.027888446215139442,0.21428571428571427,0.0,0.21428571428571427
