,기준_년_코드,기준_분기_코드,서비스_업종_코드,점포_수,유사_업종_점포_수,개업_율,개업_점포_수,폐업_률,폐업_점포_수,프랜차이즈_점포_수,당월_매출_금액,당월_매출_건수,주중_매출_비율,주말_매출_비율,월요일_매출_비율,화요일_매출_비율,수요일_매출_비율,목요일_매출_비율,금요일_매출_비율,토요일_매출_비율,일요일_매출_비율,시간대_00~06_매출_비율,시간대_06~11_매출_비율,시간대_11~14_매출_비율,시간대_14~17_매출_비율,시간대_17~21_매출_비율,시간대_21~24_매출_비율,남성_매출_비율,여성_매출_비율,연령대_10_매출_비율,연령대_20_매출_비율,연령대_30_매출_비율,연령대_40_매출_비율,연령대_50_매출_비율,연령대_60_이상_매출_비율,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수
0,2015,1,CS300011,1.0,1.0,0.5,0.9,4,0.8181818181818182,1.0,0.998814232552414,0.7678652199538404,0.16666666666666785,0.833333333333333,0.0,0.20000000000000018,1.0,0.0,1.0,0.3999999999999999,0.6666666666666661,0.0,0.0,0.0,0.5999999999999996,1.0,0.857142857142857,0.75,0.23076923076923084,1.0,0.9230769230769234,0.5,0.20000000000000018,0.25,0.2857142857142857,0.9362048238233396,1.0,0.8825875329497176,0.8979871146151943,0.7993745775511065,0.8771498616384661,0.9250174467072586,1.0,1.0,0.5194407510104908,0.4872058729538411,0.8892685543784253,1.0,1.0,0.8986760207013654,0.9557127348854692,0.9301249169163279,0.9470387857144773,0.977731465555863,0.9028701966930449,0.8617834862798736,0.9372021515569338,0.6128459826565028,0.7039735758863365,0.8791278987423728,0.6606121344886611,0.6970937618017646,0.6009992332616062,0.7579952770145113,0.7911169075825092,0.8763465213022404,0.8825990903183885,0.5989304812834224,0.33999672292315253,0.6745980302130035,0.8099310706525811,0.779222430690496,0.7366638580532219,0.746401263779944,0.7341156344813303,0.7969398384535256,0.7540581183169581,0.7263573275275548,0.6748739015131818,0.7298353542558249,0.3866284622731614
1,2015,2,CS300011,0.9647058823529413,0.9647058823529413,0.5,0.6000000000000001,2,0.33333333333333337,1.0,0.9623437300723009,0.9037860760040866,0.0,1.0,0.25,0.3999999999999999,0.5,0.25,0.25,1.0,0.33333333333333304,0.0,0.0,0.5714285714285714,0.0,0.833333333333333,0.9999999999999998,0.6666666666666665,0.3076923076923084,0.75,0.6923076923076925,0.8333333333333335,0.6000000000000001,0.125,0.2857142857142857,0.950057881499091,0.8923888844960493,0.9753343556041213,0.9561065441520737,0.8577635565246089,0.7654687086080942,0.918415829769074,0.9046607331821386,0.8784648221889135,0.5317789316592019,0.8446692942272519,1.0,0.8987983163233899,0.9344096647286506,0.962267116274497,0.89408064819804,0.9654148675791603,0.7385532529398108,0.940095729185778,1.0,0.8993672192819796,0.8913667031371793,0.7048225245587076,0.8601812508299029,0.9797207264234656,0.8960648497157503,0.8504308716997974,0.7633086822817475,0.8276198084469453,0.9511067637575624,0.9729263962430169,0.988200129954516,0.5347593582887701,0.5847943634278223,0.9214966059885845,0.9006405933917734,0.8972298507729067,0.9239711067300377,0.8921692728147422,0.8967830474013151,0.795744462849434,0.8908384499404631,0.9690936950901337,0.8530930962161787,0.9093705420827389,0.5749761222540593
2,2015,3,CS300011,0.8647058823529417,0.8647058823529417,0.5,0.7000000000000001,3,0.696969696969697,1.0,0.9778986029503599,1.0,0.8333333333333339,0.16666666666666696,0.25,0.3999999999999999,1.0,0.75,0.25,0.19999999999999973,0.33333333333333304,0.0,0.0,0.7142857142857142,0.0,0.5,0.857142857142857,0.9166666666666665,0.07692307692307754,0.75,0.7692307692307696,0.9999999999999996,0.40000000000000036,0.25,0.0,0.9973545406920408,0.8595400398634294,1.0,1.0,1.0,0.8360252730016924,0.8788567712342769,0.8864298690384909,0.8290299132770251,0.6164750601555326,0.6936322599811554,0.9512360063536158,0.9295598333369899,0.9609028894775689,0.9715698248956194,0.9077343941215638,1.0,0.9017738500357217,0.9999999999999999,0.9514397282713641,0.9339792152515308,0.9017341413445346,0.5524113340292561,1.0,1.0,1.0000000000000002,0.9999999999999999,1.0,0.9999999999999998,0.9999999999999999,1.0000000000000002,1.0,0.6042780748663101,0.6893331148615435,1.0,1.0,1.0,0.9999999999999999,0.9999999999999999,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,0.6741801973893664
3,2015,4,CS300011,0.8352941176470585,0.8352941176470585,0.5,0.7000000000000001,2,0.33333333333333337,1.0,0.9999999999999999,0.7086295625805921,0.3333333333333339,0.666666666666667,0.25,0.20000000000000018,0.5,0.75,0.5,0.3999999999999999,0.6666666666666661,0.0,0.0,0.4285714285714286,0.7999999999999998,0.5,0.857142857142857,1.0,0.0,1.0,0.8461538461538463,0.5,0.6000000000000001,0.0,0.14285714285714285,1.0,0.908412783209394,0.8263366752356779,0.9360358731050196,0.8994024916913488,1.0,0.9999999999999999,0.9042112965113769,0.9131799347659566,0.6333890999635475,0.5897558532801018,0.9575455428050408,0.9478747772046714,0.988068425359363,0.9999999999999999,1.0,0.9481400481954756,1.0,0.9662413035529852,0.9202826636224833,0.9999999999999999,1.0,0.64648511153652,0.6921109414420396,0.7373955469998758,0.5549209333676266,0.6298880763552718,0.596827516839389,0.845537305440212,0.8138245842843169,0.7292118978075588,0.7476088369070825,0.9999999999999999,0.47960019662461084,0.6902717009668882,0.7150782947478833,0.699288109351401,0.7554788413242476,0.7109376332786287,0.6940551120723867,0.8714971225601531,0.6865347542938883,0.6576759925928994,0.7412771046747438,0.6905908226343318,0.4221585482330469
4,2016,1,CS300011,0.7470588235294118,0.7470588235294118,0.5,0.7000000000000001,3,0.6363636363636365,1.0,0.7981334505193628,0.6367321806443994,0.16666666666666785,0.833333333333333,0.25,0.3999999999999999,0.5,0.25,0.25,0.5999999999999996,0.6666666666666661,0.0,0.0,0.4285714285714286,0.7999999999999998,0.5,0.7142857142857142,0.75,0.23076923076923084,1.0,0.7692307692307696,0.5,0.40000000000000036,0.125,0.4285714285714285,0.800265195430178,0.7218795629939547,0.6920257234358741,0.835638962057415,0.8126330141491849,0.6824834826299393,0.7427941563546588,0.7321406957901873,0.7102369282083343,0.0,0.6325053279881301,0.7461247559097351,0.7733711390973683,0.8078321740309322,0.7052675287239114,0.698949913535943,0.7637982108683314,0.7208550569355012,0.7329459924602589,0.7404042903669609,0.7348747219394337,0.7171739491589897,0.6236072480338489,0.6197450537777187,0.6663140339163336,0.5572357276524793,0.684682596903217,0.5992596440025394,0.6238291297591978,0.630627105749375,0.6586487147847909,0.6758804418453541,0.2245989304812834,0.35818449942651154,0.6079871801796936,0.6626807522289653,0.6417702005385472,0.6049916968660782,0.5678752870288547,0.6256005995323269,0.6878874297716834,0.621460229152674,0.572559413584812,0.553308026970343,0.609159533999049,0.4175740210124165
5,2016,2,CS300011,0.7411764705882353,0.7411764705882353,0.5,0.8,1,0.2424242424242424,1.0,0.6385918428270937,0.6583632857433557,0.16666666666666785,1.0,0.25,0.0,0.0,0.5,0.5,0.5999999999999996,1.0,0.0,0.0,0.5714285714285714,0.40000000000000036,0.5,0.857142857142857,0.6666666666666665,0.3076923076923084,0.75,0.6923076923076925,0.5,0.40000000000000036,0.5,0.4285714285714285,0.639498200631337,0.5787635481415563,0.670511355077314,0.5784733146543978,0.5431757200188673,0.5914901166053133,0.6172909206660563,0.5943521683127116,0.561076162638549,0.4529561828084385,0.7404826374804908,0.6721032847789559,0.5888350343926129,0.6033723545044682,0.7169608499458995,0.5418446161820523,0.6665412147946188,0.5649491174815787,0.6346347825303749,0.577025352642622,0.6062224130181191,0.6099315290114613,0.6005949114701785,0.6427383481609348,0.6855729848628057,0.6424308000674039,0.5734627665053044,0.5767521621198256,0.7222217345120312,0.6938593631127051,0.6937610962726937,0.6753541260558804,0.39037433155080214,0.6214976241192856,0.6978519598840455,0.6482730201543419,0.6419330586311442,0.7086295329793935,0.5891691602209568,0.6793814318893648,0.6640140712785397,0.6575251273455656,0.6218947268779544,0.6225711958123169,0.6896398002853066,0.5256924546322828
6,2016,3,CS300011,0.6470588235294117,0.6470588235294121,1.0,1.0,4,0.7575757575757576,1.0,0.5662720020427653,0.6197022718142989,0.6666666666666679,0.5,1.0,0.20000000000000018,0.5,0.25,0.75,0.19999999999999973,0.6666666666666661,0.0,0.0,0.7142857142857142,0.0,0.33333333333333304,0.9999999999999998,0.25,0.6923076923076925,0.75,0.8461538461538463,0.16666666666666652,0.0,0.25,0.7142857142857143,0.5769086467708664,0.49866607361428406,0.5879991493041011,0.5350737971877677,0.5424217786736721,0.4773378576204798,0.5667711729481963,0.4983611241155308,0.4990120798216441,0.691415083457698,0.5386084775302004,0.6105675634949275,0.49202167121040985,0.5449193161110237,0.6636992478672951,0.4760791903433975,0.5893861793120643,0.6144512282133829,0.6057650947164901,0.45709790383201454,0.4706205986292754,0.4620579564667148,0.5364278646983672,0.6186379630859116,0.6215556885154451,0.6336328079962396,0.5805867408246644,0.5843535900670278,0.6111262301270288,0.674839691337898,0.6000499820377052,0.648395061728395,0.24598930481283418,0.553498279534655,0.6247501755523146,0.5865213156514573,0.6175801964559402,0.7028541511579395,0.5429033501769087,0.6405683541161721,0.7001827216994827,0.6420772335253175,0.5359202967573229,0.5421801605047406,0.5811935330480267,0.4422795288124801
7,2016,4,CS300011,0.6352941176470588,0.6352941176470588,1.0,1.0,2,0.33333333333333337,1.0,0.6319848237805924,0.47721701430440644,0.16666666666666785,0.833333333333333,0.25,0.20000000000000018,0.0,1.0,0.0,0.5999999999999996,0.6666666666666661,0.0,0.0,0.5714285714285714,0.5999999999999996,0.16666666666666696,0.9999999999999998,0.3333333333333335,0.6153846153846159,0.75,0.7692307692307696,0.5,0.40000000000000036,0.375,0.2857142857142857,0.6014147885201486,0.6193479451468461,0.6194016834720174,0.6000035002300131,0.528225828169319,0.5046968834528387,0.5780542282501225,0.6640874922388507,0.5685849136560619,0.4298095290894064,0.5393989086427313,0.6686766489109685,0.5866067261314236,0.6057777538618986,0.673480849916387,0.6207389266823008,0.5998018948179815,0.6976669192519422,0.6437858898431572,0.48610090405462625,0.5974705192978157,0.6377652724912595,0.5131169953382522,0.4408445093613066,0.5405571019368788,0.4498150825255204,0.4419696501527792,0.37684779830658,0.43417229240371863,0.4943158352353004,0.5728826619600248,0.5002144249512671,0.3155080213903743,0.40996231361625424,0.5185635319325159,0.47230463774631,0.4595498423845994,0.52978084634703,0.4266656203405791,0.4871532175059645,0.5647466657559044,0.47131629052422186,0.4146083170144415,0.4681503821954136,0.47851283880171186,0.3766953199617956
8,2017,1,CS300011,0.4882352941176471,0.48235294117647065,0.5,0.8,5,1.0,0.0,0.4841320501740428,0.42389944003314883,0.5,0.5,0.25,0.3999999999999999,0.5,0.5,0.5,0.0,1.0,0.0,0.0,0.4285714285714286,1.0,0.33333333333333304,0.7142857142857142,0.3333333333333335,0.6153846153846159,0.75,0.6153846153846154,0.5,0.20000000000000018,0.375,0.7142857142857143,0.49973040092477833,0.4167055716038758,0.5132900737682916,0.512787285844271,0.4934197913703511,0.43399345035240905,0.4158561903406046,0.36554608513686304,0.4747528874883369,0.18732021520971504,0.4331143087787803,0.5172256163506938,0.45986530918793134,0.4682502847394481,0.47902267287930816,0.48606863888736973,0.4574160901437711,0.5071027767227798,0.49895338023102176,0.4105487616638587,0.38978441047754664,0.47594168037281986,0.5144213649656046,0.42117580666578147,0.42864245062418893,0.436281074561209,0.44972877398976896,0.3952989867510903,0.4273248413234893,0.4023982900409375,0.3929733585326106,0.4731578947368421,0.0481283422459893,0.4153694904145502,0.44143754838942006,0.4574136510077171,0.40823392668708713,0.4070089902898325,0.40523526983271285,0.42239676960851746,0.424358339452518,0.41890994969577733,0.39491323871334166,0.3830014039831522,0.46127555872563003,0.4875517351162051
9,2017,2,CS300011,0.4411764705882355,0.43529411764705905,0.5,0.9,3,0.48484848484848486,0.0,0.6251070602242144,0.6135659376518927,0.3333333333333339,0.833333333333333,0.25,0.20000000000000018,1.0,0.5,0.25,0.3999999999999999,1.0,0.0,0.0,0.857142857142857,0.7999999999999998,0.0,0.7142857142857142,0.3333333333333335,0.6153846153846159,0.5,0.5384615384615388,0.5,0.40000000000000036,0.375,0.8571428571428571,0.60168533483384,0.6025203175467514,0.5957691845418913,0.5751314472885238,0.5274412266441971,0.5428967923195476,0.582435900057269,0.6119697701140243,0.5917986431127947,0.6058198633523822,1.0,0.8046934689462326,0.5931964649550064,0.5623059760941685,0.6024302669095812,0.5952685909926414,0.6067285566029657,0.49214901391138466,0.6060600728788843,0.5835149689521426,0.5844804823212226,0.5750445016636128,0.7574112703816986,0.5845920196521046,0.6640219210391682,0.5503977721213626,0.568587564802417,0.5483168855581114,0.6044982486327044,0.6414882440314458,0.6408842655504011,0.6928979857050033,0.2085561497326203,0.9999999999999999,0.7652370406381102,0.6360492994680453,0.5637277101929088,0.5946679973495415,0.5728123539266229,0.6163657147193724,0.48182175242063563,0.5661592656653371,0.6231548805812088,0.6535974901634514,0.7359278411792678,0.8590894619547915
