,기준_년_코드,기준_분기_코드,상권코드,폐업률
0,2018,2,1000001,1.9607843137254901
1,2018,2,1000002,3.1746031746031744
2,2018,2,1000003,1.9933554817275747
3,2018,2,1000004,5.813953488372093
4,2018,2,1000005,2.857142857142857
5,2018,2,1000006,3.9473684210526314
6,2018,2,1000007,1.4018691588785046
7,2018,2,1000008,3.896103896103896
8,2018,2,1000009,2.7586206896551726
9,2018,2,1000010,3.7593984962406015
10,2018,2,1000011,0.7936507936507936
11,2018,2,1000012,4.10958904109589
12,2018,2,1000013,2.2900763358778624
13,2018,2,1000014,0.0
14,2018,2,1000015,2.1739130434782608
15,2018,2,1000016,4.5
16,2018,2,1000017,1.5772870662460567
17,2018,2,1000018,5.263157894736842
18,2018,2,1000019,0.8771929824561403
19,2018,2,1000020,4.3478260869565215
20,2018,2,1000021,2.8169014084507045
21,2018,2,1000022,2.9850746268656714
22,2018,2,1000023,3.6363636363636362
23,2018,2,1000024,5.555555555555555
24,2018,2,1000025,3.125
25,2018,2,1000026,2.4691358024691357
26,2018,2,1000027,3.571428571428571
27,2018,2,1000028,3.6363636363636362
28,2018,2,1000029,3.0303030303030303
29,2018,2,1000030,1.694915254237288
30,2018,2,1000031,2.4193548387096775
31,2018,2,1000032,2.6785714285714284
32,2018,2,1000033,5.780346820809249
33,2018,2,1000034,2.9268292682926833
34,2018,2,1000035,2.727272727272727
35,2018,2,1000036,2.7027027027027026
36,2018,2,1000037,1.5151515151515151
37,2018,2,1000038,3.488372093023256
38,2018,2,1000039,1.8604651162790697
39,2018,2,1000040,2.6143790849673203
40,2018,2,1000041,1.7241379310344827
41,2018,2,1000042,6.41025641025641
42,2018,2,1000043,1.1363636363636365
43,2018,2,1000044,4.285714285714286
44,2018,2,1000045,0.7299270072992701
45,2018,2,1000046,4.285714285714286
46,2018,2,1000047,3.3707865168539324
47,2018,2,1000048,4.615384615384616
48,2018,2,1000049,5.442176870748299
49,2018,2,1000050,0.0
50,2018,2,1000051,3.0864197530864197
51,2018,2,1000052,1.6216216216216217
52,2018,2,1000053,4.724409448818897
53,2018,2,1000054,4.6875
54,2018,2,1000055,4.62962962962963
55,2018,2,1000056,3.4782608695652173
56,2018,2,1000057,3.428571428571429
57,2018,2,1000058,5.755395683453238
58,2018,2,1000059,5.88235294117647
59,2018,2,1000060,1.7857142857142856
60,2018,2,1000061,6.666666666666667
61,2018,2,1000062,4.6875
62,2018,2,1000063,2.608695652173913
63,2018,2,1000064,1.8518518518518516
64,2018,2,1000065,0.7194244604316548
65,2018,2,1000066,1.7857142857142856
66,2018,2,1000067,4.3478260869565215
67,2018,2,1000068,3.1645569620253164
68,2018,2,1000069,2.6785714285714284
69,2018,2,1000070,4.411764705882353
70,2018,2,1000071,5.109489051094891
71,2018,2,1000072,2.586206896551724
72,2018,2,1000073,4.901960784313726
73,2018,2,1000074,7.142857142857142
74,2018,2,1000075,5.384615384615385
75,2018,2,1000076,4.285714285714286
76,2018,2,1000077,2.7649769585253456
77,2018,2,1000078,1.639344262295082
78,2018,2,1000079,8.256880733944955
79,2018,2,1000080,4.081632653061225
80,2018,2,1000081,3.2085561497326207
81,2018,2,1000082,1.0204081632653061
82,2018,2,1000083,3.8461538461538463
83,2018,2,1000084,5.737704918032787
84,2018,2,1000085,2.512562814070352
85,2018,2,1000086,5.737704918032787
86,2018,2,1000087,2.6785714285714284
87,2018,2,1000088,1.3888888888888888
88,2018,2,1000089,4.545454545454546
89,2018,2,1000090,3.3707865168539324
90,2018,2,1000091,3.804347826086957
91,2018,2,1000092,2.803738317757009
92,2018,2,1000093,4.301075268817205
93,2018,2,1000094,5.625
94,2018,2,1000095,1.2987012987012987
95,2018,2,1000096,5.0
96,2018,2,1000097,2.1505376344086025
97,2018,2,1000098,3.597122302158273
98,2018,2,1000099,3.428571428571429
99,2018,2,1000100,3.314917127071823
100,2018,2,1000101,2.9850746268656714
101,2018,2,1000102,6.315789473684211
102,2018,2,1000103,3.8461538461538463
103,2018,2,1000104,2.857142857142857
104,2018,2,1000105,2.0
105,2018,2,1000106,3.8461538461538463
106,2018,2,1000107,3.488372093023256
107,2018,2,1000108,5.376344086021505
108,2018,2,1000109,0.5988023952095809
109,2018,2,1000110,1.4218009478672986
110,2018,2,1000111,6.779661016949152
111,2018,2,1000112,4.6875
112,2018,2,1000113,1.984126984126984
113,2018,2,1000114,1.6483516483516485
114,2018,2,1000115,2.4691358024691357
115,2018,2,1000116,1.6666666666666667
116,2018,2,1000117,2.2222222222222223
117,2018,2,1000118,3.767123287671233
118,2018,2,1000119,6.0606060606060606
119,2018,2,1000120,3.3962264150943398
120,2018,2,1000121,4.97737556561086
121,2018,2,1000122,0.0
122,2018,2,1000123,2.6515151515151514
123,2018,2,1000124,0.906344410876133
