,기준_년_코드,기준_분기_코드,상권코드,폐업률
0,2015,4,1000001,4.787234042553192
1,2015,4,1000002,3.7593984962406015
2,2015,4,1000003,1.6778523489932886
3,2015,4,1000004,4.819277108433735
4,2015,4,1000005,4.477611940298507
5,2015,4,1000006,2.857142857142857
6,2015,4,1000007,6.511627906976744
7,2015,4,1000008,2.4691358024691357
8,2015,4,1000009,2.666666666666667
9,2015,4,1000010,2.0408163265306123
10,2015,4,1000011,0.7575757575757576
11,2015,4,1000012,3.3333333333333335
12,2015,4,1000013,1.7094017094017095
13,2015,4,1000014,3.278688524590164
14,2015,4,1000015,8.450704225352112
15,2015,4,1000016,1.5789473684210527
16,2015,4,1000017,0.4761904761904762
17,2015,4,1000018,3.389830508474576
18,2015,4,1000019,4.3478260869565215
19,2015,4,1000020,3.1746031746031744
20,2015,4,1000021,2.4390243902439024
21,2015,4,1000022,1.4492753623188406
22,2015,4,1000023,0.0
23,2015,4,1000024,4.878048780487805
24,2015,4,1000025,2.380952380952381
25,2015,4,1000026,0.0
26,2015,4,1000027,5.454545454545454
27,2015,4,1000028,3.463203463203463
28,2015,4,1000029,1.4285714285714286
29,2015,4,1000030,3.260869565217391
30,2015,4,1000031,6.25
31,2015,4,1000032,1.3636363636363635
32,2015,4,1000033,2.717391304347826
33,2015,4,1000034,2.4390243902439024
34,2015,4,1000035,2.803738317757009
35,2015,4,1000036,0.8264462809917356
36,2015,4,1000037,3.1746031746031744
37,2015,4,1000038,4.3478260869565215
38,2015,4,1000039,4.30622009569378
39,2015,4,1000040,2.564102564102564
40,2015,4,1000041,0.9009009009009009
41,2015,4,1000042,5.263157894736842
42,2015,4,1000043,3.7037037037037033
43,2015,4,1000044,4.938271604938271
44,2015,4,1000045,3.125
45,2015,4,1000046,2.8368794326241136
46,2015,4,1000047,3.888888888888889
47,2015,4,1000048,5.46875
48,2015,4,1000049,3.977272727272727
49,2015,4,1000050,4.166666666666666
50,2015,4,1000051,3.75
51,2015,4,1000052,1.6853932584269662
52,2015,4,1000053,1.7391304347826086
53,2015,4,1000054,4.651162790697675
54,2015,4,1000055,0.8771929824561403
55,2015,4,1000056,4.716981132075472
56,2015,4,1000057,2.380952380952381
57,2015,4,1000058,4.545454545454546
58,2015,4,1000059,1.7543859649122806
59,2015,4,1000060,4.123711340206185
60,2015,4,1000061,1.9607843137254901
61,2015,4,1000062,1.7094017094017095
62,2015,4,1000063,2.857142857142857
