,기준_년_코드,기준_분기_코드,상권코드,폐업률
0,2020,2,1000001,2.0
1,2020,2,1000002,1.7094017094017095
2,2020,2,1000003,2.7491408934707904
3,2020,2,1000004,1.282051282051282
4,2020,2,1000005,2.8169014084507045
5,2020,2,1000006,1.1235955056179776
6,2020,2,1000007,3.902439024390244
7,2020,2,1000008,1.0752688172043012
8,2020,2,1000009,3.3333333333333335
9,2020,2,1000010,4.761904761904762
10,2020,2,1000011,4.918032786885246
11,2020,2,1000012,1.4285714285714286
12,2020,2,1000013,3.125
13,2020,2,1000014,0.0
14,2020,2,1000015,1.948051948051948
15,2020,2,1000016,4.455445544554455
16,2020,2,1000017,2.091254752851711
17,2020,2,1000018,2.7777777777777777
18,2020,2,1000019,1.0204081632653061
19,2020,2,1000020,0.9523809523809524
20,2020,2,1000021,1.1235955056179776
21,2020,2,1000022,5.633802816901409
22,2020,2,1000023,2.2222222222222223
23,2020,2,1000024,10.0
24,2020,2,1000025,5.555555555555555
25,2020,2,1000026,0.0
26,2020,2,1000027,4.411764705882353
27,2020,2,1000028,0.819672131147541
28,2020,2,1000029,3.225806451612903
29,2020,2,1000030,1.7857142857142856
30,2020,2,1000031,0.7751937984496124
31,2020,2,1000032,3.8461538461538463
32,2020,2,1000033,8.333333333333332
33,2020,2,1000034,3.2407407407407405
34,2020,2,1000035,4.545454545454546
35,2020,2,1000036,2.7522935779816518
36,2020,2,1000037,0.0
37,2020,2,1000038,2.3255813953488373
38,2020,2,1000039,1.7777777777777777
39,2020,2,1000040,0.6024096385542169
40,2020,2,1000041,3.125
41,2020,2,1000042,0.0
42,2020,2,1000043,0.0
43,2020,2,1000044,2.631578947368421
44,2020,2,1000045,0.0
45,2020,2,1000046,0.7299270072992701
46,2020,2,1000047,2.9940119760479043
47,2020,2,1000048,3.0864197530864197
48,2020,2,1000049,2.3391812865497075
49,2020,2,1000050,0.0
50,2020,2,1000051,0.6172839506172839
51,2020,2,1000052,2.2857142857142856
52,2020,2,1000053,4.724409448818897
53,2020,2,1000054,4.716981132075472
54,2020,2,1000055,2.8301886792452833
55,2020,2,1000056,2.5423728813559325
56,2020,2,1000057,1.6216216216216217
57,2020,2,1000058,2.083333333333333
58,2020,2,1000059,0.0
59,2020,2,1000060,2.727272727272727
60,2020,2,1000061,0.8064516129032258
61,2020,2,1000062,1.5625
62,2020,2,1000063,0.9615384615384616
63,2020,2,1000064,2.912621359223301
64,2020,2,1000065,2.941176470588235
65,2020,2,1000066,2.5423728813559325
66,2020,2,1000067,2.515723270440252
67,2020,2,1000068,1.8633540372670807
68,2020,2,1000069,0.9900990099009901
69,2020,2,1000070,4.522613065326634
70,2020,2,1000071,2.2151898734177213
71,2020,2,1000072,2.8301886792452833
72,2020,2,1000073,3.1914893617021276
73,2020,2,1000074,1.8181818181818181
74,2020,2,1000075,2.459016393442623
75,2020,2,1000076,0.0
76,2020,2,1000077,3.0
77,2020,2,1000078,3.418803418803419
78,2020,2,1000079,1.2048192771084338
79,2020,2,1000080,2.450980392156863
80,2020,2,1000081,1.6574585635359116
81,2020,2,1000082,0.9900990099009901
82,2020,2,1000083,2.631578947368421
83,2020,2,1000084,3.289473684210526
84,2020,2,1000085,6.349206349206349
85,2020,2,1000086,0.0
86,2020,2,1000087,2.7777777777777777
87,2020,2,1000088,5.714285714285714
88,2020,2,1000089,4.761904761904762
89,2020,2,1000090,3.1914893617021276
90,2020,2,1000091,1.098901098901099
91,2020,2,1000092,2.34375
92,2020,2,1000093,3.0927835051546393
93,2020,2,1000094,0.6024096385542169
94,2020,2,1000095,1.3157894736842104
95,2020,2,1000096,3.0303030303030303
96,2020,2,1000097,5.813953488372093
97,2020,2,1000098,2.797202797202797
98,2020,2,1000099,2.030456852791878
99,2020,2,1000100,4.827586206896552
100,2020,2,1000101,1.5151515151515151
101,2020,2,1000102,1.0526315789473684
102,2020,2,1000103,2.127659574468085
103,2020,2,1000104,2.843601895734597
104,2020,2,1000105,1.3636363636363635
105,2020,2,1000106,1.8604651162790697
106,2020,2,1000107,0.6172839506172839
107,2020,2,1000108,1.8957345971563981
108,2020,2,1000109,3.7037037037037033
109,2020,2,1000110,1.0416666666666665
110,2020,2,1000111,0.0
111,2020,2,1000112,0.5208333333333333
112,2020,2,1000113,0.7722007722007722
113,2020,2,1000114,2.127659574468085
114,2020,2,1000115,0.0
115,2020,2,1000116,2.6178010471204187
116,2020,2,1000117,4.597701149425287
117,2020,2,1000118,3.571428571428571
118,2020,2,1000119,6.349206349206349
119,2020,2,1000120,1.8867924528301887
120,2020,2,1000121,3.9408866995073892
121,2020,2,1000122,1.5873015873015872
122,2020,2,1000123,3.065134099616858
123,2020,2,1000124,1.5151515151515151
124,2020,2,1000125,1.935483870967742
125,2020,2,1000126,2.8846153846153846
126,2020,2,1000127,4.191616766467066
127,2020,2,1000128,4.958677685950414
128,2020,2,1000129,1.4814814814814816
129,2020,2,1000130,0.0
130,2020,2,1000131,2.797202797202797
131,2020,2,1000132,4.195804195804196
132,2020,2,1000133,5.056179775280898
133,2020,2,1000134,4.390243902439024
134,2020,2,1000135,1.6528925619834711
135,2020,2,1000136,5.0228310502283104
136,2020,2,1000137,3.0303030303030303
137,2020,2,1000138,5.384615384615385
138,2020,2,1000139,2.604166666666667
139,2020,2,1000140,1.342281879194631
140,2020,2,1000141,2.564102564102564
141,2020,2,1000142,0.4761904761904762
142,2020,2,1000143,1.2987012987012987
143,2020,2,1000144,0.9803921568627451
144,2020,2,1000145,4.301075268817205
145,2020,2,1000146,4.964539007092199
146,2020,2,1000147,3.225806451612903
147,2020,2,1000148,2.564102564102564
148,2020,2,1000149,7.368421052631578
149,2020,2,1000150,1.342281879194631
150,2020,2,1000151,4.444444444444445
151,2020,2,1000152,2.608695652173913
152,2020,2,1000153,2.380952380952381
153,2020,2,1000154,2.7624309392265194
154,2020,2,1000155,2.7777777777777777
155,2020,2,1000156,2.1459227467811157
156,2020,2,1000157,3.4782608695652173
157,2020,2,1000158,2.8000000000000003
158,2020,2,1000159,4.794520547945205
159,2020,2,1000160,4.580152671755725
160,2020,2,1000161,3.910614525139665
161,2020,2,1000162,3.389830508474576
162,2020,2,1000163,0.0
163,2020,2,1000164,0.819672131147541
164,2020,2,1000165,2.891566265060241
165,2020,2,1000166,2.1621621621621623
166,2020,2,1000167,2.9268292682926833
167,2020,2,1000168,2.272727272727273
168,2020,2,1000169,1.3333333333333335
169,2020,2,1000170,2.0
170,2020,2,1000171,7.317073170731707
171,2020,2,1000172,3.4782608695652173
172,2020,2,1000173,1.4598540145985401
173,2020,2,1000174,1.3157894736842104
174,2020,2,1000175,2.8901734104046244
175,2020,2,1000176,1.9801980198019802
176,2020,2,1000177,2.083333333333333
177,2020,2,1000178,1.7857142857142856
178,2020,2,1000179,0.0
179,2020,2,1000180,0.8130081300813009
180,2020,2,1000181,2.912621359223301
181,2020,2,1000182,4.285714285714286
182,2020,2,1000183,1.3513513513513513
183,2020,2,1000184,1.8867924528301887
184,2020,2,1000185,3.875968992248062
185,2020,2,1000186,0.0
186,2020,2,1000187,1.7857142857142856
187,2020,2,1000188,4.807692307692308
188,2020,2,1000189,1.951219512195122
189,2020,2,1000190,2.185792349726776
190,2020,2,1000191,0.0
191,2020,2,1000192,2.097902097902098
192,2020,2,1000193,3.0120481927710845
193,2020,2,1000194,0.0
194,2020,2,1000195,3.225806451612903
195,2020,2,1000196,0.0
196,2020,2,1000197,3.296703296703297
197,2020,2,1000198,1.4925373134328357
198,2020,2,1000199,1.9417475728155338
199,2020,2,1000200,3.5398230088495577
200,2020,2,1000201,3.1390134529147984
201,2020,2,1000202,2.586206896551724
202,2020,2,1000203,1.7391304347826086
203,2020,2,1000204,5.042016806722689
204,2020,2,1000205,1.2269938650306749
205,2020,2,1000206,1.3513513513513513
206,2020,2,1000207,2.5
207,2020,2,1000208,0.0
208,2020,2,1000209,2.1739130434782608
209,2020,2,1000210,2.312138728323699
210,2020,2,1000211,0.0
211,2020,2,1000212,0.0
212,2020,2,1000213,1.1695906432748537
213,2020,2,1000214,4.225352112676056
214,2020,2,1000215,4.444444444444445
215,2020,2,1000216,0.0
216,2020,2,1000217,1.0
217,2020,2,1000218,6.557377049180328
218,2020,2,1000219,0.0
219,2020,2,1000220,2.2026431718061676
220,2020,2,1000221,1.6
221,2020,2,1000222,1.3793103448275863
222,2020,2,1000223,3.7037037037037033
223,2020,2,1000224,0.9174311926605505
224,2020,2,1000225,0.0
225,2020,2,1000226,1.7241379310344827
226,2020,2,1000227,6.25
227,2020,2,1000228,2.307692307692308
228,2020,2,1000229,0.7905138339920948
229,2020,2,1000230,1.6877637130801686
230,2020,2,1000231,3.5000000000000004
231,2020,2,1000232,0.9174311926605505
232,2020,2,1000233,4.219409282700422
233,2020,2,1000234,6.172839506172839
234,2020,2,1000235,2.2988505747126435
235,2020,2,1000236,2.380952380952381
236,2020,2,1000237,2.5454545454545454
237,2020,2,1000238,2.941176470588235
238,2020,2,1000239,5.46875
239,2020,2,1000240,2.941176470588235
240,2020,2,1000241,2.4096385542168677
241,2020,2,1000242,2.7027027027027026
242,2020,2,1000243,1.7391304347826086
243,2020,2,1000244,3.9473684210526314
244,2020,2,1000245,4.545454545454546
245,2020,2,1000246,2.7027027027027026
246,2020,2,1000247,3.2467532467532463
247,2020,2,1000248,0.641025641025641
248,2020,2,1000249,2.6455026455026456
249,2020,2,1000250,2.1739130434782608
250,2020,2,1000251,0.0
251,2020,2,1000252,2.8169014084507045
252,2020,2,1000253,2.941176470588235
253,2020,2,1000254,1.7241379310344827
254,2020,2,1000255,1.2195121951219512
255,2020,2,1000256,4.0
256,2020,2,1000257,3.4090909090909087
257,2020,2,1000258,3.428571428571429
258,2020,2,1000259,3.6036036036036037
259,2020,2,1000260,3.79746835443038
260,2020,2,1000261,3.3333333333333335
261,2020,2,1000262,0.0
262,2020,2,1000263,0.9708737864077669
263,2020,2,1000264,2.4193548387096775
264,2020,2,1000265,1.3333333333333335
265,2020,2,1000266,3.1914893617021276
266,2020,2,1000267,8.333333333333332
267,2020,2,1000268,2.459016393442623
268,2020,2,1000269,1.8518518518518516
269,2020,2,1000270,3.2679738562091507
270,2020,2,1000271,3.3057851239669422
271,2020,2,1000272,4.580152671755725
272,2020,2,1000273,2.4390243902439024
273,2020,2,1000274,2.9585798816568047
274,2020,2,1000275,1.8867924528301887
275,2020,2,1000276,1.694915254237288
276,2020,2,1000277,2.9585798816568047
277,2020,2,1000278,1.7142857142857144
278,2020,2,1000279,7.894736842105263
279,2020,2,1000280,13.88888888888889
280,2020,2,1000281,3.1914893617021276
281,2020,2,1000282,0.0
282,2020,2,1000283,3.389830508474576
283,2020,2,1000284,2.8846153846153846
284,2020,2,1000285,0.9803921568627451
285,2020,2,1000286,0.7633587786259541
286,2020,2,1000287,2.857142857142857
287,2020,2,1000288,3.2
288,2020,2,1000289,0.0
289,2020,2,1000290,1.7857142857142856
290,2020,2,1000291,2.564102564102564
291,2020,2,1000292,2.941176470588235
292,2020,2,1000293,3.6585365853658534
293,2020,2,1000294,3.6363636363636362
294,2020,2,1000295,4.225352112676056
295,2020,2,1000296,5.0
296,2020,2,1000297,9.411764705882353
297,2020,2,1000298,1.4285714285714286
298,2020,2,1000299,1.4492753623188406
299,2020,2,1000300,2.2222222222222223
300,2020,2,1000301,2.054794520547945
301,2020,2,1000302,4.49438202247191
302,2020,2,1000303,0.78125
303,2020,2,1000304,0.0
304,2020,2,1000305,2.9629629629629632
305,2020,2,1000306,2.9702970297029703
306,2020,2,1000307,0.0
307,2020,2,1000308,1.8018018018018018
308,2020,2,1000309,6.60377358490566
309,2020,2,1000310,5.376344086021505
310,2020,2,1000311,2.4390243902439024
311,2020,2,1000312,3.3333333333333335
312,2020,2,1000313,4.878048780487805
313,2020,2,1000314,2.4691358024691357
314,2020,2,1000315,3.571428571428571
315,2020,2,1000316,7.6923076923076925
316,2020,2,1000317,1.4285714285714286
317,2020,2,1000318,2.8169014084507045
318,2020,2,1000319,2.8846153846153846
319,2020,2,1000320,5.319148936170213
320,2020,2,1000321,1.3157894736842104
321,2020,2,1000322,1.4925373134328357
322,2020,2,1000323,3.048780487804878
323,2020,2,1000324,2.232142857142857
324,2020,2,1000325,2.941176470588235
325,2020,2,1000326,2.631578947368421
326,2020,2,1000327,3.571428571428571
327,2020,2,1000328,3.389830508474576
328,2020,2,1000329,0.0
329,2020,2,1000330,1.2987012987012987
330,2020,2,1000331,3.225806451612903
331,2020,2,1000332,2.127659574468085
332,2020,2,1000333,2.7777777777777777
333,2020,2,1000334,3.896103896103896
334,2020,2,1000335,0.9433962264150944
335,2020,2,1000336,1.8018018018018018
336,2020,2,1000337,1.1494252873563218
337,2020,2,1000338,5.625
338,2020,2,1000339,1.8181818181818181
339,2020,2,1000340,1.9607843137254901
340,2020,2,1000341,0.0
341,2020,2,1000342,1.5151515151515151
342,2020,2,1000343,1.1904761904761905
343,2020,2,1000344,1.4492753623188406
