,기준_년_코드,기준_분기_코드,상권코드,폐업률
0,2017,1,1000001,2.1052631578947367
1,2017,1,1000002,4.724409448818897
2,2017,1,1000003,3.389830508474576
3,2017,1,1000004,8.13953488372093
4,2017,1,1000005,0.0
5,2017,1,1000006,1.4492753623188406
6,2017,1,1000007,3.30188679245283
7,2017,1,1000008,3.79746835443038
8,2017,1,1000009,2.083333333333333
9,2017,1,1000010,2.7777777777777777
10,2017,1,1000011,9.230769230769232
11,2017,1,1000012,5.555555555555555
12,2017,1,1000013,5.737704918032787
13,2017,1,1000014,0.0
14,2017,1,1000015,5.0359712230215825
15,2017,1,1000016,1.0416666666666665
16,2017,1,1000017,1.8867924528301887
17,2017,1,1000018,2.4
18,2017,1,1000019,6.1946902654867255
19,2017,1,1000020,1.6129032258064515
20,2017,1,1000021,5.128205128205128
21,2017,1,1000022,1.3888888888888888
22,2017,1,1000023,7.4074074074074066
23,2017,1,1000024,7.5
24,2017,1,1000025,3.125
25,2017,1,1000026,1.3333333333333335
26,2017,1,1000027,1.694915254237288
27,2017,1,1000028,2.5
28,2017,1,1000029,2.857142857142857
29,2017,1,1000030,2.1505376344086025
30,2017,1,1000031,4.615384615384616
31,2017,1,1000032,4.867256637168142
32,2017,1,1000033,2.094240837696335
33,2017,1,1000034,3.8095238095238098
34,2017,1,1000035,3.571428571428571
35,2017,1,1000036,2.608695652173913
36,2017,1,1000037,4.615384615384616
37,2017,1,1000038,2.272727272727273
38,2017,1,1000039,1.9138755980861244
39,2017,1,1000040,3.870967741935484
40,2017,1,1000041,2.6548672566371683
41,2017,1,1000042,1.910828025477707
42,2017,1,1000043,2.272727272727273
43,2017,1,1000044,3.9473684210526314
44,2017,1,1000045,0.7407407407407408
45,2017,1,1000046,4.444444444444445
46,2017,1,1000047,1.639344262295082
47,2017,1,1000048,4.878048780487805
48,2017,1,1000049,4.790419161676647
49,2017,1,1000050,3.7037037037037033
50,2017,1,1000051,6.58682634730539
51,2017,1,1000052,3.1746031746031744
52,2017,1,1000053,1.6129032258064515
53,2017,1,1000054,5.555555555555555
54,2017,1,1000055,6.481481481481481
55,2017,1,1000056,2.6548672566371683
56,2017,1,1000057,2.272727272727273
57,2017,1,1000058,4.225352112676056
58,2017,1,1000059,3.389830508474576
59,2017,1,1000060,2.8301886792452833
