,기준_년_코드,기준_분기_코드,상권코드,폐업률
0,2017,4,1000001,2.564102564102564
1,2017,4,1000002,2.34375
2,2017,4,1000003,1.3289036544850499
3,2017,4,1000004,2.2988505747126435
4,2017,4,1000005,0.0
5,2017,4,1000006,2.7027027027027026
6,2017,4,1000007,2.803738317757009
7,2017,4,1000008,1.2987012987012987
8,2017,4,1000009,3.597122302158273
9,2017,4,1000010,7.2992700729927
10,2017,4,1000011,0.78125
11,2017,4,1000012,4.10958904109589
12,2017,4,1000013,0.7874015748031495
13,2017,4,1000014,1.4925373134328357
14,2017,4,1000015,4.929577464788732
15,2017,4,1000016,3.015075376884422
16,2017,4,1000017,1.0869565217391304
17,2017,4,1000018,4.878048780487805
18,2017,4,1000019,2.586206896551724
19,2017,4,1000020,2.5210084033613445
20,2017,4,1000021,2.666666666666667
21,2017,4,1000022,2.7777777777777777
22,2017,4,1000023,3.7037037037037033
23,2017,4,1000024,5.128205128205128
24,2017,4,1000025,6.0606060606060606
25,2017,4,1000026,2.5
26,2017,4,1000027,1.6666666666666667
27,2017,4,1000028,3.9301310043668125
28,2017,4,1000029,4.285714285714286
29,2017,4,1000030,5.027932960893855
30,2017,4,1000031,2.3622047244094486
31,2017,4,1000032,2.2123893805309733
32,2017,4,1000033,2.7027027027027026
33,2017,4,1000034,5.213270142180095
34,2017,4,1000035,0.8771929824561403
35,2017,4,1000036,0.819672131147541
36,2017,4,1000037,1.5384615384615385
37,2017,4,1000038,5.813953488372093
38,2017,4,1000039,2.857142857142857
39,2017,4,1000040,3.2679738562091507
40,2017,4,1000041,1.7241379310344827
41,2017,4,1000042,3.1645569620253164
42,2017,4,1000043,1.1111111111111112
43,2017,4,1000044,1.3888888888888888
44,2017,4,1000045,2.127659574468085
45,2017,4,1000046,2.1739130434782608
46,2017,4,1000047,2.209944751381215
47,2017,4,1000048,0.0
48,2017,4,1000049,3.870967741935484
49,2017,4,1000050,0.0
50,2017,4,1000051,4.2682926829268295
51,2017,4,1000052,1.5625
52,2017,4,1000053,3.0303030303030303
