,기준_년_코드,기준_분기_코드,상권코드,폐업률
0,2016,3,1000001,4.232804232804233
1,2016,3,1000002,0.7692307692307693
2,2016,3,1000003,3.3783783783783785
3,2016,3,1000004,7.142857142857142
4,2016,3,1000005,1.4705882352941175
5,2016,3,1000006,1.3888888888888888
6,2016,3,1000007,5.14018691588785
7,2016,3,1000008,2.4691358024691357
8,2016,3,1000009,2.7210884353741496
9,2016,3,1000010,6.25
10,2016,3,1000011,3.0303030303030303
11,2016,3,1000012,4.615384615384616
12,2016,3,1000013,0.8403361344537815
13,2016,3,1000014,4.545454545454546
14,2016,3,1000015,2.158273381294964
15,2016,3,1000016,1.0416666666666665
16,2016,3,1000017,1.2403100775193798
17,2016,3,1000018,4.878048780487805
18,2016,3,1000019,4.201680672268908
19,2016,3,1000020,3.1746031746031744
20,2016,3,1000021,6.172839506172839
21,2016,3,1000022,4.411764705882353
22,2016,3,1000023,3.508771929824561
23,2016,3,1000024,2.564102564102564
24,2016,3,1000025,6.25
25,2016,3,1000026,1.4285714285714286
26,2016,3,1000027,5.555555555555555
27,2016,3,1000028,5.394190871369295
28,2016,3,1000029,5.970149253731343
29,2016,3,1000030,2.6455026455026456
30,2016,3,1000031,5.343511450381679
31,2016,3,1000032,1.3333333333333335
32,2016,3,1000033,2.6595744680851063
33,2016,3,1000034,1.9230769230769231
34,2016,3,1000035,3.6036036036036037
35,2016,3,1000036,3.5398230088495577
36,2016,3,1000037,4.761904761904762
37,2016,3,1000038,2.247191011235955
38,2016,3,1000039,0.966183574879227
39,2016,3,1000040,6.211180124223603
40,2016,3,1000041,1.7543859649122806
41,2016,3,1000042,2.5316455696202533
42,2016,3,1000043,1.1627906976744187
43,2016,3,1000044,2.5316455696202533
44,2016,3,1000045,4.032258064516129
45,2016,3,1000046,3.546099290780142
46,2016,3,1000047,1.098901098901099
47,2016,3,1000048,3.225806451612903
48,2016,3,1000049,1.7751479289940828
49,2016,3,1000050,0.0
50,2016,3,1000051,2.4691358024691357
51,2016,3,1000052,3.804347826086957
52,2016,3,1000053,2.586206896551724
53,2016,3,1000054,4.545454545454546
54,2016,3,1000055,3.5398230088495577
55,2016,3,1000056,4.672897196261682
56,2016,3,1000057,2.857142857142857
57,2016,3,1000058,5.0359712230215825
58,2016,3,1000059,0.0
59,2016,3,1000060,1.9417475728155338
60,2016,3,1000061,3.7383177570093453
61,2016,3,1000062,5.737704918032787
62,2016,3,1000063,5.5045871559633035
63,2016,3,1000064,1.9607843137254901
64,2016,3,1000065,4.929577464788732
65,2016,3,1000066,3.5398230088495577
66,2016,3,1000067,2.4390243902439024
67,2016,3,1000068,2.5316455696202533
68,2016,3,1000069,5.405405405405405
69,2016,3,1000070,1.3574660633484164
