,기준_년_코드,기준_분기_코드,상권코드,폐업률
0,2020,1,1000001,5.583756345177665
1,2020,1,1000002,3.3333333333333335
2,2020,1,1000003,2.3178807947019866
3,2020,1,1000004,5.0
4,2020,1,1000005,5.47945205479452
5,2020,1,1000006,4.49438202247191
6,2020,1,1000007,1.9138755980861244
7,2020,1,1000008,0.0
8,2020,1,1000009,2.5806451612903225
9,2020,1,1000010,6.25
10,2020,1,1000011,1.6260162601626018
11,2020,1,1000012,2.898550724637681
12,2020,1,1000013,2.5380710659898478
13,2020,1,1000014,1.7241379310344827
14,2020,1,1000015,2.564102564102564
15,2020,1,1000016,4.368932038834951
16,2020,1,1000017,1.3207547169811322
17,2020,1,1000018,4.62962962962963
18,2020,1,1000019,6.185567010309279
19,2020,1,1000020,2.941176470588235
20,2020,1,1000021,1.098901098901099
21,2020,1,1000022,4.166666666666666
22,2020,1,1000023,4.25531914893617
23,2020,1,1000024,6.25
24,2020,1,1000025,0.0
25,2020,1,1000026,2.272727272727273
26,2020,1,1000027,6.153846153846154
27,2020,1,1000028,2.092050209205021
28,2020,1,1000029,1.5873015873015872
29,2020,1,1000030,4.705882352941177
30,2020,1,1000031,4.761904761904762
31,2020,1,1000032,1.6528925619834711
32,2020,1,1000033,2.312138728323699
33,2020,1,1000034,2.7522935779816518
34,2020,1,1000035,2.6785714285714284
35,2020,1,1000036,3.571428571428571
36,2020,1,1000037,2.73972602739726
37,2020,1,1000038,2.4096385542168677
38,2020,1,1000039,2.6200873362445414
39,2020,1,1000040,3.6363636363636362
40,2020,1,1000041,0.0
41,2020,1,1000042,5.0
42,2020,1,1000043,1.1494252873563218
43,2020,1,1000044,3.1055900621118013
44,2020,1,1000045,2.097902097902098
45,2020,1,1000046,2.9197080291970803
46,2020,1,1000047,2.9585798816568047
47,2020,1,1000048,3.592814371257485
48,2020,1,1000049,2.2988505747126435
49,2020,1,1000050,2.7777777777777777
50,2020,1,1000051,6.172839506172839
51,2020,1,1000052,5.202312138728324
52,2020,1,1000053,0.7874015748031495
53,2020,1,1000054,12.5
54,2020,1,1000055,4.545454545454546
55,2020,1,1000056,1.680672268907563
56,2020,1,1000057,2.127659574468085
57,2020,1,1000058,1.3245033112582782
58,2020,1,1000059,1.7543859649122806
59,2020,1,1000060,1.7391304347826086
60,2020,1,1000061,1.639344262295082
61,2020,1,1000062,3.149606299212598
62,2020,1,1000063,4.761904761904762
63,2020,1,1000064,5.9405940594059405
64,2020,1,1000065,4.316546762589928
65,2020,1,1000066,2.459016393442623
66,2020,1,1000067,3.7037037037037033
67,2020,1,1000068,1.8072289156626504
68,2020,1,1000069,3.9603960396039604
69,2020,1,1000070,5.472636815920398
70,2020,1,1000071,2.572347266881029
71,2020,1,1000072,2.7522935779816518
72,2020,1,1000073,6.117021276595745
73,2020,1,1000074,1.7543859649122806
74,2020,1,1000075,2.479338842975207
75,2020,1,1000076,4.0
76,2020,1,1000077,4.040404040404041
77,2020,1,1000078,3.3333333333333335
78,2020,1,1000079,0.5865102639296188
79,2020,1,1000080,2.4154589371980677
80,2020,1,1000081,2.7472527472527473
81,2020,1,1000082,5.05050505050505
82,2020,1,1000083,2.564102564102564
83,2020,1,1000084,2.5806451612903225
84,2020,1,1000085,5.670103092783505
85,2020,1,1000086,2.6548672566371683
86,2020,1,1000087,6.60377358490566
87,2020,1,1000088,3.4246575342465753
88,2020,1,1000089,0.0
89,2020,1,1000090,3.225806451612903
90,2020,1,1000091,0.546448087431694
91,2020,1,1000092,1.6129032258064515
92,2020,1,1000093,0.0
93,2020,1,1000094,4.191616766467066
94,2020,1,1000095,4.054054054054054
95,2020,1,1000096,4.615384615384616
96,2020,1,1000097,2.272727272727273
97,2020,1,1000098,1.4184397163120568
98,2020,1,1000099,2.0100502512562812
99,2020,1,1000100,4.697986577181208
100,2020,1,1000101,9.230769230769232
101,2020,1,1000102,3.1578947368421053
102,2020,1,1000103,0.7092198581560284
103,2020,1,1000104,1.8867924528301887
104,2020,1,1000105,1.4705882352941175
105,2020,1,1000106,2.7906976744186047
106,2020,1,1000107,6.25
107,2020,1,1000108,2.450980392156863
108,2020,1,1000109,5.056179775280898
109,2020,1,1000110,2.1201413427561837
110,2020,1,1000111,1.5625
111,2020,1,1000112,0.5208333333333333
112,2020,1,1000113,2.3166023166023164
113,2020,1,1000114,4.18848167539267
114,2020,1,1000115,2.7027027027027026
115,2020,1,1000116,3.1413612565445024
116,2020,1,1000117,4.545454545454546
117,2020,1,1000118,2.5
118,2020,1,1000119,3.10077519379845
119,2020,1,1000120,2.8753993610223643
120,2020,1,1000121,3.827751196172249
121,2020,1,1000122,7.936507936507936
122,2020,1,1000123,3.4615384615384617
123,2020,1,1000124,2.1021021021021022
124,2020,1,1000125,3.205128205128205
125,2020,1,1000126,0.9259259259259258
126,2020,1,1000127,2.9585798816568047
127,2020,1,1000128,0.8333333333333334
128,2020,1,1000129,3.7593984962406015
129,2020,1,1000130,3.278688524590164
130,2020,1,1000131,2.0689655172413794
131,2020,1,1000132,2.684563758389262
132,2020,1,1000133,1.6304347826086956
133,2020,1,1000134,4.761904761904762
134,2020,1,1000135,2.459016393442623
135,2020,1,1000136,2.293577981651376
136,2020,1,1000137,3.535353535353535
137,2020,1,1000138,4.444444444444445
138,2020,1,1000139,2.5906735751295336
139,2020,1,1000140,3.4965034965034967
140,2020,1,1000141,3.4782608695652173
141,2020,1,1000142,2.8846153846153846
142,2020,1,1000143,1.282051282051282
143,2020,1,1000144,2.0
144,2020,1,1000145,1.098901098901099
145,2020,1,1000146,3.4246575342465753
146,2020,1,1000147,2.1052631578947367
147,2020,1,1000148,3.0927835051546393
148,2020,1,1000149,4.040404040404041
149,2020,1,1000150,2.7777777777777777
150,2020,1,1000151,5.434782608695652
151,2020,1,1000152,2.586206896551724
152,2020,1,1000153,3.614457831325301
153,2020,1,1000154,1.6666666666666667
154,2020,1,1000155,4.861111111111112
155,2020,1,1000156,4.661016949152542
156,2020,1,1000157,3.3333333333333335
157,2020,1,1000158,4.382470119521913
158,2020,1,1000159,4.10958904109589
159,2020,1,1000160,6.666666666666667
160,2020,1,1000161,4.444444444444445
161,2020,1,1000162,2.5423728813559325
162,2020,1,1000163,2.158273381294964
163,2020,1,1000164,4.23728813559322
164,2020,1,1000165,3.8369304556354913
165,2020,1,1000166,3.225806451612903
166,2020,1,1000167,5.025125628140704
167,2020,1,1000168,4.545454545454546
168,2020,1,1000169,5.517241379310345
169,2020,1,1000170,5.0
170,2020,1,1000171,5.813953488372093
171,2020,1,1000172,3.508771929824561
172,2020,1,1000173,3.64963503649635
173,2020,1,1000174,1.3157894736842104
174,2020,1,1000175,2.3255813953488373
175,2020,1,1000176,6.435643564356436
176,2020,1,1000177,4.6875
177,2020,1,1000178,2.631578947368421
178,2020,1,1000179,5.769230769230769
179,2020,1,1000180,3.361344537815126
180,2020,1,1000181,1.8867924528301887
181,2020,1,1000182,5.47945205479452
182,2020,1,1000183,5.405405405405405
183,2020,1,1000184,1.257861635220126
